SK_LOCALIDADE,VERSAO,DT_INICIO,DT_FIM,NK_ID_LOCALIDADE,NM_NEIGHBOURHOOD_GROUP,NM_NEIGHBOURHOOD,CD_LATITUDE,CD_LONGITUDE
93,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,92,Staten Island                                                                                                                                                                                                                                             ,Graniteville                                                                                                                                                                                                                                              ,40.62109            ,-74.16534           
94,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,93,Bronx                                                                                                                                                                                                                                                     ,Spuyten Duyvil                                                                                                                                                                                                                                            ,40.87991            ,-73.91673           
95,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,94,Staten Island                                                                                                                                                                                                                                             ,Stapleton                                                                                                                                                                                                                                                 ,40.62766            ,-74.07988           
96,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,95,Queens                                                                                                                                                                                                                                                    ,Briarwood                                                                                                                                                                                                                                                 ,40.71151            ,-73.81561           
97,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,96,Queens                                                                                                                                                                                                                                                    ,Ozone Park                                                                                                                                                                                                                                                ,40.68581            ,-73.84642           
98,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,97,Brooklyn                                                                                                                                                                                                                                                  ,Columbia St                                                                                                                                                                                                                                               ,40.68636            ,-74.00345           
99,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,98,Brooklyn                                                                                                                                                                                                                                                  ,Vinegar Hill                                                                                                                                                                                                                                              ,40.70279            ,-73.98284           
100,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,99,Bronx                                                                                                                                                                                                                                                     ,Mott Haven                                                                                                                                                                                                                                                ,40.81128            ,-73.92399           
101,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,100,Bronx                                                                                                                                                                                                                                                     ,Longwood                                                                                                                                                                                                                                                  ,40.81611            ,-73.89909           
102,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,101,Brooklyn                                                                                                                                                                                                                                                  ,Canarsie                                                                                                                                                                                                                                                  ,40.62897            ,-73.90334           
103,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,102,Manhattan                                                                                                                                                                                                                                                 ,Battery Park City                                                                                                                                                                                                                                         ,40.71012            ,-74.01504           
104,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,103,Manhattan                                                                                                                                                                                                                                                 ,Civic Center                                                                                                                                                                                                                                              ,40.71164            ,-74.00774           
105,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,104,Queens                                                                                                                                                                                                                                                    ,East Elmhurst                                                                                                                                                                                                                                             ,40.75541            ,-73.89239           
106,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,105,Staten Island                                                                                                                                                                                                                                             ,New Springville                                                                                                                                                                                                                                           ,40.59274            ,-74.16178           
107,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,106,Bronx                                                                                                                                                                                                                                                     ,Morris Heights                                                                                                                                                                                                                                            ,40.84937            ,-73.91328           
108,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,107,Queens                                                                                                                                                                                                                                                    ,Arverne                                                                                                                                                                                                                                                   ,40.59783            ,-73.80158           
109,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,108,Queens                                                                                                                                                                                                                                                    ,Cambria Heights                                                                                                                                                                                                                                           ,40.69249            ,-73.73382           
110,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,109,Staten Island                                                                                                                                                                                                                                             ,Tottenville                                                                                                                                                                                                                                               ,40.50868            ,-74.23986           
111,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,110,Staten Island                                                                                                                                                                                                                                             ,Mariners Harbor                                                                                                                                                                                                                                           ,40.62879            ,-74.16062           
112,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,111,Staten Island                                                                                                                                                                                                                                             ,Concord                                                                                                                                                                                                                                                   ,40.60183            ,-74.08953           
113,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,112,Brooklyn                                                                                                                                                                                                                                                  ,Borough Park                                                                                                                                                                                                                                              ,40.63324            ,-73.99461           
